2017-01-05 00:22:00.662 000F --- INFO    Start logu
2017-01-05 00:22:01.231 000F --- INFO    Current relative path is: C:\Users\IBM_ADMIN\Documents\NetBeansProjects\PriceImp
2017-01-05 00:22:01.232 000F --- INFO    wersja programu  PriceImp - 0.2
2017-01-12 11:34:00.589 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651403427; ilość 00001
2017-01-12 11:34:00.589 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651403434; ilość 00001
2017-01-12 11:34:00.589 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651403441; ilość 00001
2017-01-12 11:34:00.590 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651403458; ilość 00001
2017-01-12 11:34:00.590 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651403465; ilość 00001
2017-01-12 11:34:00.591 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651368979; ilość 00001
2017-01-12 11:34:00.591 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651368986; ilość 00001
2017-01-12 11:34:00.592 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651368993; ilość 00001
2017-01-12 11:34:00.592 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651369006; ilość 00001
2017-01-12 11:34:00.592 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651369020; ilość 00001
2017-01-12 11:34:00.593 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651369037; ilość 00001
2017-01-12 11:34:00.593 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399478; ilość 00001
2017-01-12 11:34:00.593 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399485; ilość 00001
2017-01-12 11:34:00.594 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399492; ilość 00001
2017-01-12 11:34:00.594 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399508; ilość 00001
2017-01-12 11:34:00.594 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399515; ilość 00001
2017-01-12 11:34:00.595 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651399522; ilość 00001
2017-01-12 11:34:00.595 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387260; ilość 00001
2017-01-12 11:34:00.595 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387277; ilość 00001
2017-01-12 11:34:00.596 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387284; ilość 00001
2017-01-12 11:34:00.596 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387291; ilość 00001
2017-01-12 11:34:00.597 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387307; ilość 00001
2017-01-12 11:34:00.597 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651387314; ilość 00001
2017-01-12 11:34:00.597 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651404561; ilość 00001
2017-01-12 11:34:00.598 000F --- FINER   Sprawdzam pozycję o kodzie: 3603651404578; ilość 00001
